WKT,unnamed (1),id,lat,lon
"POINT (106.67440457081288 10.767697936760955)",0.0,1,1.0767697936760956E16,1.0667440457081288E16
"POINT (106.68171090816945 10.765502988216346)",1.0,2,1.0765502988216346E16,1.0668171090816944E16
"POINT (106.67647823898406 10.762256648455452)",2.0,3,1.0762256648455452E16,1.0667647823898406E16
"POINT (106.66637167541595 10.756248719669571)",3.0,4,1.0756248719669572E16,1.0666637167541596E16
"POINT (106.67712196914763 10.76035942071941)",4.0,5,1.076035942071941E15,1.0667712196914764E16
"POINT (106.67413935272307 10.75751355673015)",5.0,6,1.075751355673015E15,1.0667413935272308E16
"POINT (106.67501911727996 10.761171014045628)",6.0,7,1.0761171014045628E16,1.0667501911727996E16
"POINT (106.66900024025054 10.759885111919823)",7.0,8,1.0759885111919824E16,1.0666900024025054E16
"POINT (106.66712269394012 10.76765346503475)",8.0,9,1.076765346503475E15,1.0666712269394012E16
"POINT (106.66002020446868 10.763911765883877)",9.0,10,1.0763911765883876E16,1.0666002020446868E16
"POINT (106.65708050338836 10.762256971443465)",10.0,11,1.0762256971443464E16,1.0665708050338836E16
"POINT (106.65809974281402 10.770383295097414)",11.0,12,1.0770383295097414E16,1.0665809974281402E16
"POINT (106.6624556502542 10.75539527465039)",12.0,13,1.075539527465039E15,1.066624556502542E15
"POINT (106.66354999153228 10.776475259064203)",13.0,14,1.0776475259064204E16,1.0666354999153228E16
"POINT (106.65876493064971 10.780764855228593)",14.0,15,1.0780764855228592E16,1.0665876493064972E16
"POINT (106.65621146766753 10.777950802726458)",15.0,16,1.0777950802726458E16,1.0665621146766752E16
"POINT (106.67766 10.75889)",16.0,17,1075889.0,1.0667766E7
"POINT (106.66560992805572 10.777877025715135)",17.0,18,1.0777877025715136E16,1.0666560992805572E16
"POINT (106.67074904052825 10.769740364375355)",18.0,19,1.0769740364375356E16,1.0667074904052824E16
"POINT (106.67314461089977 10.770844096190466)",19.0,20,1.0770844096190466E16,1.0667314461089976E16
"POINT (106.6837768874348 10.77672525861494)",20.0,21,1.077672525861494E15,1.066837768874348E15
"POINT (106.68163942572494 10.777838880769755)",21.0,22,1.0777838880769756E16,1.0668163942572494E16
"POINT (106.68686640174906 10.775025089907869)",22.0,23,1.0775025089907868E16,1.0668686640174906E16
"POINT (106.68960225494425 10.773612770253933)",23.0,24,1.0773612770253932E16,1.0668960225494424E16
"POINT (106.68439876945536 10.768269082965919)",24.0,25,1.076826908296592E16,1.0668439876945536E16
"POINT (106.6934109917454 10.771325641540948)",25.0,26,1.0771325641540948E16,1.066934109917454E15
"POINT (106.69674765975992 10.77117808425332)",26.0,27,1.077117808425332E15,1.0669674765975992E16
"POINT (106.69404399307291 10.770039782747464)",27.0,28,1.0770039782747464E16,1.0669404399307292E16
"POINT (106.69473063858072 10.769175513916302)",28.0,29,1.0769175513916302E16,1.0669473063858072E16
"POINT (106.68828260810892 10.766698632189135)",29.0,30,1.0766698632189136E16,1.0668828260810892E16
"POINT (106.68663036735575 10.76253531703015)",30.0,31,1.076253531703015E15,1.0668663036735576E16
