id,from,to,dis
0,1,2,835
1,1,3,646
2,1,8,1050
3,4,8,496
4,2,5,761
5,3,5,222
6,5,6,454
7,4,6,860
8,3,7,200
9,7,8,673
10,8,4,496
11,8,9,888
12,9,10,880
13,10,11,370
14,10,12,750
15,10,78,631
16,78,13,353
17,12,14,902
18,14,15,708
19,15,16,419
20,14,18,274
21,18,19,1065
22,19,9,459
23,9,14,1056
24,19,1,459
25,20,1,376
26,20,22,1211
27,22,21,264
28,21,1,1434
29,21,23,387
30,23,24,338
31,24,25,822
32,25,2,425
33,26,27,365
34,28,26,159
35,28,29,122
36,29,30,756
37,30,25,459
38,30,31,497
39,30,32,400
40,32,33,66
41,33,31,421
42,31,34,447
43,2,36,517
44,36,34,203
45,36,17,672
46,17,6,414
47,6,35,368
48,45,35,264
49,44,34,671
50,34,37,356
51,37,38,388
52,38,39,381
53,39,40,465
54,32,40,213
55,40,41,460
56,41,42,508
57,42,27,185
58,37,43,713
59,44,43,289
60,44,45,476
61,45,46,221
62,46,43,475
63,46,48,582
64,47,48,90
65,47,35,314
66,48,49,170
67,47,49,200
68,16,51,433
69,51,50,473
70,50,12,590
71,50,52,267
72,52,53,761
73,53,54,595
74,54,11,646
75,54,55,435
76,11,55,779
77,55,56,186
78,53,57,207
79,57,62,598
80,62,58,72
81,58,56,599
82,58,59,421
83,56,59,772
84,55,60,593
85,59,60,833
86,59,61,618
87,62,63,619
88,63,64,348
89,64,61,422
90,65,63,974
91,66,57,334
92,66,65,417
93,65,67,581
94,67,68,227
95,65,69,1108
96,52,69,816
97,69,70,340
98,16,72,893
99,72,71,319
100,71,70,852
101,71,72,319
102,71,73,597
103,72,73,522
104,15,74,927
105,74,76,493
106,76,77,901
107,77,73,317
108,74,79,708
109,79,109,217
110,109,80,815
111,109,18,904
112,80,22,371
113,80,81,542
114,81,82,389
115,82,22,563
116,83,22,566
117,83,84,234
118,84,21,532
119,81,85,245
120,85,86,344
121,82,86,225
122,86,87,316
123,87,83,222
124,87,88,359
125,88,89,561
126,86,89,455
127,89,90,478
128,90,91,284
129,91,92,232
130,92,93,506
131,93,85,419
132,93,94,420
133,94,81,208
134,92,95,636
135,95,96,73
136,91,98,277
137,98,92,223
138,96,100,379
139,100,101,255
140,96,102,343
141,100,102,172
142,102,103,617
143,103,104,531
144,104,77,1128
145,104,105,164
146,105,106,622
147,106,98,1303
148,103,107,636
149,107,108,54
150,108,76,312
151,99,95,545
152,95,97,47
153,96,97,63
154,97,93,815
155,4,13,438
156,65,53,472
157,101,107,512
158,19,20,289
159,52,11,891
160,7,4,1092
161,5,17,174
162,17,44,193
163,82,83,242
164,24,26,488
165,27,28,321
166,29,41,151
167,13,60,1296
168,2,3,676
169,12,16,866
